ID,COUNTRY_CODE,NAME,LOCATION_TYPE
9063193,NL,Dongen,Municipality
9128373,ID,Citta,District
9165349,JP,399-5601,Postal Code
9046436,GB,SK6,Postal Code
9144990,IN,263663,Postal Code
1015259,US,Bainbridge,City
9018003,US,50457,Postal Code
9137041,MX,67002,Postal Code
9131203,MX,67133,Postal Code
9032239,US,95305,Postal Code
9011307,US,31527,Postal Code
9124970,ID,Seluas,District
9129676,MX,43383,Postal Code
9177113,JP,794-1309,Postal Code
9118741,NZ,7676,Postal Code
9126084,ID,Ngunut,District
9018490,US,52218,Postal Code
9119263,ID,61261,Postal Code
1012139,SK,Stropkov,City
9134709,MX,54284,Postal Code
9167056,JP,649-5466,Postal Code
9022198,US,61822,Postal Code
9006438,US,16616,Postal Code
1021592,US,Allen,City
9042522,DE,81247,Postal Code
9143349,MX,94427,Postal Code
9141841,MX,60925,Postal Code
9111293,FR,85230,Postal Code
9160388,JP,979-3121,Postal Code
9010752,US,30002,Postal Code
9041130,AE,Abu Dhabi International Airport,Airport
9112868,US,California's 8th Congressional District 2022 redistricting,Congressional District
9163749,JP,739-1412,Postal Code
9020470,US,57324,Postal Code
9178112,JP,953-0125,Postal Code
9008671,US,23963,Postal Code
9062323,PR,Arecibo,City
9044745,DE,51379,Postal Code
9062950,HU,7634,Postal Code
1016629,US,Lockport,City
9070009,NI,Granada,Department
1003743,CZ,Zdar nad Sazavou,City
9008024,US,21710,Postal Code
9101231,BR,37713,Postal Code
9031675,US,93243,Postal Code
9146020,IN,402402,Postal Code
9123931,ID,Kembangan,District
9012033,US,33461,Postal Code
9111655,FR,56860,Postal Code
9007610,US,20250,Postal Code
1007975,IL,Tirat Carmel,City
9162655,JP,049-4518,Postal Code
9059816,US,Pierce County,County
9025435,US,71052,Postal Code
9017774,US,50020,Postal Code
9156583,JP,999-7311,Postal Code
9179710,IN,444507,Postal Code
9025440,US,71064,Postal Code
1030236,UA,Borshchiv,City
9169819,JP,038-2322,Postal Code
1011441,PL,Drohiczyn,City
9007923,US,21233,Postal Code
9060689,DE,Hanover-Mitte,Neighborhood
9142571,MX,81128,Postal Code
9001976,US,02111,Postal Code
9040158,IE,Longford,City
9009255,US,25849,Postal Code
9123945,ID,Tabukan Selatan Tenggara,District
9016200,US,46350,Postal Code
9102980,NL,6151,Postal Code
9005140,US,13142,Postal Code
9066191,MY,Taman Scientex,Neighborhood
9050783,NL,Appelscha,City
9136904,MX,61294,Postal Code
9017342,US,49094,Postal Code
9108545,FR,11120,Postal Code
1017194,US,Mauckport,City
9064398,NL,6523,Postal Code
9144907,IN,250611,Postal Code
9075548,GG,Castel,Region
1001560,BR,Imperatriz,City
9159859,JP,861-0802,Postal Code
9072785,MY,Endau,City
9041661,DE,83413,Postal Code
9108398,FR,38840,Postal Code
1003407,CN,Nanjing,City
9145204,IN,301022,Postal Code
9174725,JP,689-1434,Postal Code
9023525,US,65081,Postal Code
9010059,US,28382,Postal Code
9067323,PH,Commonwealth,Neighborhood
1022340,US,Pequannock Township,City
9026373,US,73626,Postal Code
9033227,US,97877,Postal Code
9019330,US,54749,Postal Code
9041368,US,Cleveland Hopkins International Airport,Airport
9119683,ID,50155,Postal Code
9063482,NL,s-Hertogenbosch,Municipality
9137552,MX,30806,Postal Code
9300531,IN,Ganganagar,Neighborhood
9124473,ID,Karangnunggal,District
9057491,US,Elmore County,County
9043553,DE,22359,Postal Code
9114893,DE,82392,Postal Code
9050834,NL,Brandwijk,City
9112126,FR,37350,Postal Code
9117078,DE,45529,Postal Code
9017002,US,48375,Postal Code
1008567,IT,Sorrento,City
1014709,US,Derby,City
9137930,MX,99823,Postal Code
9027705,US,77364,Postal Code
9142883,MX,75088,Postal Code
9008591,US,23707,Postal Code
1024314,US,Quinton,City
9072381,AU,7213,Postal Code
